student_id;start_assesment ;end_assesment;video duaration for set1;date;question_1;question_1.1;view_solution;q_1.1.1;q1.2;q1.1.2;watch video ;q1.1.3;text book;1.3;Explanation;duaration_1;lecture;q2;q2.1;q2.1.1;q 2.1.2;q2.1.3;duaration q2,2nd attempt;q2.2;q2.3;see explanation;view solution;textbook;lecture;video;q3;q3.1;q3.2;duaration q3,2nd attempt;q3.3;q3.1.1;q 3.1.2;q3.1.3;q3.1.1;view_solution;Video;textbook;lecture;see explanation;q4;q4.1;view solution;q4.1.1;video;q4.1.2;q4.2;q4.1.3;q4.3;duaration for 2nd attem q4;lecture;textbook;see explanation;q5;q 5.1;q 5.1.1;q5.1.2;q5.1.3;q5.2;q5.3;duaration on q5 2nd attempt;view solution;Video;textbook;lecture;see explanation
2425844;13:23:00;20:23;16:29:00;05/12/2021;3;1;no attempt;no attempt;no attempt;0;no attemptno attempt;0;no attempt;no attempt;no attempt;4;no attempt;5;4;no attempt;no attempt;no attempt;2;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;10;no attempt;no attempt;2;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;1;no attempt;;;;;;;no attempt;no attempt;no attempt;no ;0;3;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;pass;no attempt;no attempt;no attempt;no attempt;no attempt
2466429;  17:43:00;19:11;10:21:00;05/12/2021;12;NO ATTEMP ;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;29;13;no attempt;no attempt;no attempt;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;15;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;13;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;5;no attempt;4;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;;no attempt;no attempt;no attempt;no attempt;no attempt
2387231;  20:07:07;01:43;12:29:00;04/12/2021;18;2;0;3;2;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;0;no attempt;16;13;4;0;0;1;33;0;no attempt;no attempt;no attempt;no attempt;no attempt;23;32;15;22;no attempt;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;4;11;1;3;5;8;5;4;5;0;no attempt;no attempt;no attempt;12;2;2;2;no attempt;11;7;5;1;no attempt;no attempt;no attempt;0
2489211;  20:07:07;16:26;14:12:00;02/12/2021;02d20h02m;10;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;6;no attempt;6;1;7;15;1;2;3;3;no attempt;0;1;no attempt;1;9;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;;;;;;;;;;;;;;;;;;; ;;;
2455304;  17:39:07;19:00;12:45:00;05/12/2021;6;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;4;4;2;1;no attempt;2;2;4;;no attempt;no attempt;no attempt;no attempt;10;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;0;4;;1;no attempt;no attempt;17;no attempt;no attempt;3;no attempt;no attempt;no attempt;7;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt
1849534;  16:32:07;14:33;;09/12/2021;2;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;2;no attempt;45;5;1;no attempt;no attempt;1;1;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;2;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;;;;;;;;;;;;;;;
2483688;  15:30:07;15:57;;05/12/2021;0;1;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;0;no attempt;9;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;4;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;5;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;3;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt
2328014;  20:07:07;20:26;;05/12/2021;set2 only;null;null;null;null;null;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2431095;  11:40:07;15:46;;02/12/2021;18;6;no attempt;1;2;1;no attempt;no attempt;no attempt;0;0;fail;no attempt;40;21;no attempt;no attempt;no attempt;5;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;12;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;4;44;0;3;no attempt;13;1;4;24;0;no attempt;no attempt;no attempt;5;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;16;no attempt;no attempt;no attempt;no attempt;no attempt
1603806;  20:29:08;21:04;;05/12/2021;2;1;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;1;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;13;1;;;;;;;;;;;
2429308;  14:18:09;16:04;;05/12/2021;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;0;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;12;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;1;13;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;3;no attempt;no attempt;no attempt;6;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt
2443532;  08:47:10; 19:41:00;;29/11/2021;3d9h24m;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;35;5;no attempt;no attempt;no attempt;9;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;17;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;12;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;no attempt;14;no attempt;no attempt;no attempt;no attempt;no attempt;;;;;;;
2483953;null;null;null;null;set2 only;null;null;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2443377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
